sample	condition
Control-1	Control
Control-2	Control
Control-3	Control
Border-Photoactivation-1	Border
Border-Photoactivation-2	Border
Border-Photoactivation-3	Border
Central-Photoactivation-1	Central
Central-Photoactivation-2	Central
Central-Photoactivation-3	Central
Entirely-Photoactivated-1	Entirely
Entirely-Photoactivated-2	Entirely
Entirely-Photoactivated-3	Entirely
